,rank,name,industry,main market,2010 rank
257,258,British Petroleum (BP),Petrol/Gas Station,"Australia, Southeast Asia",320
258,259,Hyatt,Hotel,Regional,262
259,260,Supau,Sports Drink,Taiwan,258
260,261,CPC (China),Petrol/Gas Station,China,295
261,262,Moccona,Coffee,"Australia, Singapore",465
262,263,Powerade,Sports Drink,"Australia, Hong Kong, Japan",281
263,264,Cafe Coffee Day,Coffee,India,396
264,265,Advance Info Service,Mobile Service Provider,Thailand,337
265,266,MSN,Social Networking site,Regional,99
266,267,OMO,Detergent,"Australia, China",395
267,268,Singha,Beer,"Hong Kong, Thailand",324
268,269,Subway,Fast-Food,"Australia, China, Southeast Asia",472
269,270,Titan,Watch,India,292
270,271,Chow Tai Fook,Jewellery,"China, Hong Kong",323
271,272,Lawson,Convenience Store,"China, Japan",331
272,273,SK,Petrol/Gas Station,"Korea, Singapore",260
273,274,DTAC,Mobile Service Provider,Thailand,315
274,275,Ethnicans,Savoury Snack Food,Hong Kong,New entry
275,276,Godiva,Chocolate,Regional,380
276,277,Pacific Coffee,Coffee Shop,Hong Kong,322
277,278,Audi,Car/Automobile,Regional,394
278,279,Amway,Toothpaste,Regional,191
279,280,Café De Coral,Fast-Food,Hong Kong,335
280,281,Surf,Detergent,"Australia, India",399
281,282,GS 25,Convenience Store,Korea,713
282,283,Mild Seven,Cigarette,Regional,229
283,284,Maxis,Mobile Service Provider,Malaysia,277
284,285,Kawasaki,Motorcycle,Regional,390
285,286,Bru,Coffee,"India, Malaysia, Singapore",306
286,287,Fab,Detergent,"Hong Kong, Southeast Asia",309
287,288,Lakme,Cosmetics,India,289
288,289,Optus,Mobile Service Provider,Australia,305
289,290,HDFC Bank,Bank,India,341
290,291,Pringles,Snack Food,Regional,334
291,292,Westinghouse,White Goods,"Australia, Singapore",297
292,293,Haitai,Food,Korea,187
293,294,Oishi,Tea,Thailand,326
294,295,Bangkok Bank,Bank,Thailand,298
295,296,Nok Air,Budget Airlines,Thailand,267
296,297,Attack,Detergent,"China, Southeast Asia",274
297,298,Samyang,Instant Noodles,Korea,313
298,299,Clarks,Men’s Shoes,Regional,243
299,300,Vita,Beverage,"Hong Kong, Taiwan",291
300,301,Pokka,Beverage,"Japan, Singapore",537
301,302,Cheers,Convenience Store,Singapore,296
302,303,Petronas,Petrol/Gas Station,Southeast Asia,282
303,304,Apollo,Pharmacy/Drugstore,India,342
304,305,Mentos,Sweets and Candy,Regional,205
305,306,Jusco,Supermarket,"Hong Kong, China, Japan",220
306,307,Namyang,Milk Powder/Milk,Korea,193
307,308,Kopitiam,Coffee Shop,Singapore,329
308,309,Daum,Internet Search Engine,Korea,156
309,310,Ping An Insurance,Insurance,China,353
310,311,Kuang-Chuan,Milk,Taiwan,362
311,312,Tatung,Consumer Electronics,Taiwan,429
312,313,Midea,White Goods,China,539
313,314,Magnolia,Milk,"Malaysia, Singapore",178
314,315,Swatch,Watch,Regional,286
315,316,Maeil,Milk,Korea,213
316,317,Revlon,Cosmetics,Regional,401
317,318,Nongfu Shan Quan,Mineral Water,China,478
318,319,Great Eastern,Insurance,"Malaysia, Singapore",403
319,320,Hang Seng Bank,Bank,Hong Kong,247
320,321,Wai Wai,Instant Noodles,"Hong Kong, Thailand",360
321,322,Maybelline,Cosmetics,Regional,245
322,323,StarHub,Mobile Service Provider,Singapore,378
323,324,Kodak,Camera,Regional,232
324,325,Outback,Restaurant Chain,"Korea, China",431
325,326,Madras Rubber Factory,Tyre,"India, Malaysia",387
326,327,Glico,Snack Food,"Japan, China",237
327,328,Mr. Brown,Coffee,"Hong Kong, Taiwan",355
328,329,Dairy Farm,Milk,"Australia, Hong Kong",239
329,330,Fuji,Camera,Regional,391
330,331,Vidal Sassoon,Shampoo,Regional,397
331,332,Hugo Boss,Fragrance,Regional,340
332,333,Chivas,Spirits,Regional,350
333,334,Bisleri,Mineral Water,"Australia, India",368
334,335,AXA,Insurance,"Hong Kong, Southeast Asia",471
335,336,Taj,Hotel,India,304
336,337,United Overseas Bank,Bank,"Malaysia, Singapore",374
