,ipo year,number of employees,country,ceo,founded_year,market_cap,name
201,,"61,626",USA,John G. Morikis,1866.0,84.75 Billion USD,SHERWIN-WILLIAMS COMPANY
202,,"295,371",UK,,,,PRICEWATERHOUSECOOPERS
203,,"34,760",Switzerland,Jerome Lambert,1988.0,84.50 Billion USD,COMPAGNIE FINANCIERE RICHEMONT SA
204,,"67,000",France,Francois Jackow,1902.0,84.26 Billion USD,AIR LIQUIDE
205,,"5,000",USA,Jay A. Brown,1994.0,84.16 Billion USD,CROWN CASTLE INTERNATIONAL CORPORATION
206,,"285,555",Russia,Herman Gref,1991.0,83.76 Billion USD,SBERBANK OF RUSSIA
207,,"20,919",USA,James M. Foote,1980.0,83.20 Billion USD,CSX CORPORATION
208,2007.0,"3,795",USA,Stephen A. Schwarzman,1985.0,82.93 Billion USD,BLACKSTONE GROUP
209,2013.0,"17,400",Ireland,Brenton L. Saunders,2013.0,62.84 Billion USD,ALLERGAN
210,,"81,000",USA,Daniel S. Glaser,1905.0,82.71 Billion USD,MARSH & MCLENNAN COMPANIES
211,,"232,000",USA,,,,PUBLIX
212,,"11,200",Canada,Al Monaco,1949.0,82.22 Billion USD,ENBRIDGE
213,,"58,786",Japan,Masayoshi Son,1981.0,81.22 Billion USD,SOFTBANK GROUP
214,,"52,000",Germany,Bernd Montag,2015.0,81.18 Billion USD,SIEMENS HEALTHINEERS AG
215,2002.0,"4,370",USA,Terrence A. Duffy,2007.0,80.88 Billion USD,CME GROUP
216,2019.0,"29,300",USA,Dara Khosrowshahi,2009.0,80.53 Billion USD,UBER TECHNOLOGIES
217,,"27,605",USA,Lynn Good,1904.0,80.40 Billion USD,DUKE ENERGY CORPORATION
218,,"13,334",Saudi Arabia,Faisal Omar al-Sakkaf,1953.0,79.84 Billion USD,NATIONAL COMMERCIAL BANK
219,,"114,000",India,,,,LIFE INSURANCE CORPORATION OF INDIA
220,,"66,438",Italy,Francesco Starace,1962.0,79.77 Billion USD,ENEL
221,,"194,527",China,Lv Jiajin,2007.0,79.13 Billion USD,PSBC (POSTAL SAVINGS BANK OF CHINA)
222,,"4,077",China,Lei Mingshan,2002.0,78.97 Billion USD,CHINA YANGTZE POWER
223,,"132,700",Japan,Hironori Kamezawa,2005.0,78.84 Billion USD,MITSUBISHI UFJ FINANCIAL GROUP
224,,"571,974",Germany,Frank Appel,1995.0,78.47 Billion USD,DEUTSCHE POST AG
225,,,India,,,,RELIANCE JIO
226,2011.0,"235,000",USA,Samuel N. Hazen,1968.0,78.44 Billion USD,HCA HEALTHCARE
227,,"40,000",Sweden,Mats Rahmstrom,1873.0,78.38 Billion USD,ATLAS COPCO AB
228,,"384,065",China,,2000.0,77.72 Billion USD,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC)
229,,"20,054",Sweden,Johan Forssell,1916.0,77.33 Billion USD,INVESTOR AB (PUBL)
230,,"73,800",USA,David Cordani,1982.0,77.28 Billion USD,CIGNA CORPORATION
231,,"45,000",USA,Ernest Scott Santi,1912.0,77.26 Billion USD,ILLINOIS TOOL WORKS
232,2015.0,"6,433",Australia,Mike Cannon-Brookes,2002.0,76.76 Billion USD,ATLASSIAN CORPORATION
233,,"15,700",USA,Michael A Mussallem,1958.0,76.36 Billion USD,EDWARDS LIFESCIENCES CORPORATION
234,,"21,000",India,Sanjiv Mehta,1933.0,76.09 Billion USD,HINDUSTAN UNILEVER
235,2021.0,"7,000",USA,RJ Scaringe,2009.0,76.22 Billion USD,RIVIAN AUTOMOTIVE INC
236,,"105,000",Switzerland,Bjorn Rosengren,1988.0,76.04 Billion USD,ABB
237,,"315,000",Russia,Igor Sechin,1993.0,75.45 Billion USD,ROSNEFT OIL COMPANY
238,,"1,750",Netherlands,Pieter van der,2006.0,75.41 Billion USD,ADYEN
239,2005.0,"8,858",USA,Jeffrey C. Sprecher,2000.0,75.07 Billion USD,INTERCONTINENTAL EXCHANGE
240,,"96,595",France,Thomas Buberl,1816.0,74.59 Billion USD,AXA
241,,"43,863",Canada,Darryl White,1817.0,73.37 Billion USD,BANK OF MONTREAL
242,,"130,170",India,Sandeep Bakhshi,1994.0,73.33 Billion USD,ICICI BANK
243,,"2,372",Hong Kong,Nicolas Aguzin,2000.0,73.04 Billion USD,HONG KONG EXCHANGES AND CLEARING (HKEX)
244,,"42,685",China,Hongjia Gong,2001.0,72.96 Billion USD,HANGZHOU HIKVISION DIGITAL TECHNOLOGY
245,,"29,008",South Korea,Lee Seok-Hee,1983.0,72.83 Billion USD,SK HYNIX
246,,"27,300",USA,Thomas A. Fanning,1945.0,72.75 Billion USD,THE SOUTHERN COMPANY
247,,"75,000",USA,Thomas Polen,1897.0,72.44 Billion USD,BECTON DICKINSON AND COMPANY
248,,"18,100",USA,James A. Squires,1982.0,72.23 Billion USD,NORFOLK SOUTHERN CORPORATION
249,,"6,058",China,Pang Kang,1955.0,72.14 Billion USD,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY
250,,"45,000",Spain,Jose Ignacio Sanchez Galan,1992.0,72.10 Billion USD,IBERDROLA
251,1986.0,"44,000",USA,Frank Bisignano,1984.0,71.85 Billion USD,FISERV
252,,"74,316",Brazil,Eduardo Bartolomeo,1942.0,71.75 Billion USD,VALE SA
253,,"65,000",USA,Gary A. Norcross,1968.0,71.64 Billion USD,FIDELITY NATIONAL INFORMATION SERVICES
254,,"24,069",Japan,Yasuhiko Saito,1926.0,71.31 Billion USD,SHIN-ETSU CHEMICAL
255,,"19,789",France,Bernard Charles,1981.0,71.22 Billion USD,DASSAULT SYSTEMES
256,,"33,800",USA,Noel R. Wallace,1806.0,71.17 Billion USD,COLGATE-PALMOLIVE COMPANY
257,,"134,878",Switzerland,Gary Nagle,1974.0,70.87 Billion USD,GLENCORE
258,,"120,726",Germany,,1916.0,70.51 Billion USD,BAYERISCHE MOTOREN WERKE (BMW)
259,,"11,834",Canada,Keith Creel,1881.0,70.40 Billion USD,CANADIAN PACIFIC RAILWAY
260,,"312,250",UK,,,,ERNST & YOUNG
261,2000.0,"5,633",Bermuda,Matthew Murphy,1995.0,70.13 Billion USD,MARVELL TECHNOLOGY GROUP
262,2018.0,"7,986",China,Colin Huang Zheng,2015.0,70.06 Billion USD,PINDUODUO
263,,"289,000",USA,Raj Subramaniam,1971.0,69.95 Billion USD,FEDEX CORPORATION
264,2000.0,"10,944",USA,Charles J. Meyers,1998.0,69.78 Billion USD,EQUINIX
265,,"16,821",Russia,Leonid Viktorovich Mikhelson,1994.0,69.39 Billion USD,NOVATEK
266,,"13,023",USA,Rob Fauber,1909.0,69.23 Billion USD,MOODY'S CORPORATION
267,,"2,000",USA,,2007.0,69.12 Billion USD,"LUCID GROUP, INC."
268,,"34,944",Australia,Ross McEwan,1981.0,69.04 Billion USD,NATIONAL AUSTRALIA BANK
269,,"110,302",Germany,,1865.0,68.99 Billion USD,BASF SE
270,,"80,000",Denmark,Soren Skou,1904.0,68.83 Billion USD,A.P. MOLLER - MAERSK A/S
271,,"49,050",Brazil,Roberto Castello Branco,1953.0,68.81 Billion USD,PETROLEO BRASILEIRO - PETROBRAS
272,,"25,000",Germany,,,,ALDI
273,,"47,320",Japan,Takashi Tanaka,1984.0,68.13 Billion USD,KDDI CORPORATION
274,,"32,873",China,,2000.0,68.09 Billion USD,LONGI GREEN ENERGY TECHNOLOGY
275,,"52,930",Switzerland,Mario Greco,1872.0,67.91 Billion USD,ZURICH INSURANCE GROUP AG
