,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
711,712,Piggy,No,No,The Netherlands,Technology,225.06,48.13,"2,946,126","906,341",31.0,7,2013
712,713,Epassi,No,No,Finland,Fintech,224.82,48.1,"205,312,456","63,207,258",130.0,40,2007
713,714,Atheneum Partners,Yes,Yes,Germany,Technology,224.27,48.01,"33,400,000","10,300,000",315.0,150,2010
714,715,Pharmacy2U,Yes,No,UK,Technology,223.91,47.96,"156,232,906","48,580,102",454.0,211,1999
715,716,PHOENIX DEVELOPPEMENT,No,No,France,Support Services,223.16,47.85,"1,797,294","556,159",18.0,6,2011
716,717,Wiwie Transport,No,No,Germany,Transport,223.08,47.83,"4,200,000","1,300,000",25.0,10,2016
717,718,Mevas Auto Center,No,No,Romania,Automobiles,222.96,47.81,"2,595,034","834,708",31.0,23,2003
718,719,BK Beachhouse Mode,Yes,No,Germany,Retail,222.78,47.79,"5,172,479","1,602,458",35.0,21,2015
719,720,F.lli Urso,No,No,Italy,Construction,222.59,47.76,"2,009,090","622,800",9.0,3,2015
720,721,GoHenry,Yes,Yes,UK,Financial Services,222.24,47.7,"22,020,382","6,882,489",166.0,61,2011
721,722,Adrilog,Yes,No,Italy,Transport,221.85,47.64,"57,057,180","17,727,950",816.0,634,2014
722,723,Attachment,Yes,Yes,UK,Advertising,221.77,47.63,"7,191,249","2,250,946",6.0,2,2015
723,724,PARIS HERBES,Yes,No,France,Agricultural Commodities,221.73,47.63,"12,934,943","4,020,469",25.0,15,2015
724,725,Interlog Logistic,No,No,France,Transport,221.69,47.62,"5,480,946","1,703,819",28.0,37,2015
725,726,Conglomerati Bituminosi,Yes,No,Italy,Construction,221.08,47.53,"33,371,870","10,393,680",75.0,34,1975
726,727,Nikkel Art,No,No,Belgium,Ecommerce,220.83,47.49,"3,762,160","1,172,617",26.0,5,2010
727,728,Esyen,No,No,Italy,Technology,220.60,47.45,"3,868,940","1,206,770",25.0,9,2011
728,729,Sav-eco Packaging Ltd,No,No,UK,Industrial Goods,220.27,47.4,"16,923,940","5,322,238",165.0,104,2014
729,730,Elmar Mair Tiefbau,No,No,Germany,Construction,219.98,47.36,"2,302,685","719,638",19.0,8,2016
730,731,ATLAS Innovative Engineering,No,No,Spain,Energy,219.37,47.26,"3,495,981","1,094,666",15.0,12,2014
731,732,SECURE-IC,No,No,France,Technology,219.33,47.26,"6,934,182","2,171,492",76.0,48,2010
732,733,DATALYO,No,No,France,Technology,218.82,47.18,"3,544,255","1,111,687",36.0,16,2014
