,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
252,253,LITTLEBIG CONNECTION,No,Yes,France,Support Services,612.55,92.43,"111,538,883","15,653,388",173.0,17,2013
253,254,SPC General Service,Yes,No,Italy,Construction,611.08,92.3,"6,788,660","954,700",50.0,15,2011
254,255,jobandtalent,Yes,Yes,Spain,Technology,608.12,92.03,"352,879,165","49,833,511",801.0,156,2008
255,256,Financial House,No,No,UK,Fintech,608.11,92.03,"18,766,625","2,669,247",20.0,14,2016
256,257,MyLead,No,No,Poland,Sales & Marketing,607.97,92.02,"2,004,501","309,471",42.0,8,2013
257,258,Mia-Platform,Yes,Yes,Italy,Technology,605.35,91.78,"6,515,510","923,730",74.0,15,2016
258,259,Tecnimed,No,No,Italy,Health,604.94,91.74,"9,551,790","1,354,980",32.0,20,1976
259,260,Longevity Partners,No,No,UK,Retail,601.43,91.42,"2,336,243","335,460",22.0,5,2015
260,261,NexumStp,Yes,Yes,Italy,Management Consulting,601.37,91.42,"25,667,400","3,659,630",345.0,56,2015
261,262,G-ON,No,No,France,Support Services,598.10,91.12,"1,810,459","259,342",16.0,3,2016
262,263,Picnic,No,No,UK,Advertising,590.77,90.45,"1,508,869","219,999",10.0,3,2016
263,264,Egomnia,No,No,Italy,Technology,586.95,90.1,"1,901,140","276,750",36.0,2,2012
264,265,LoyaltyLion,No,No,UK,Technology,586.89,90.09,"4,483,296","657,382",40.0,10,2012
265,266,reMarkable,No,No,Norway,Technology,581.48,89.59,"115,793,390","18,106,514",142.0,22,2016
266,267,Kubrick,Yes,No,UK,Management Consulting,580.10,89.46,"32,614,354","4,829,922",673.0,119,2016
267,268,Contrader,Yes,No,Italy,Technology,579.81,89.44,"4,682,960","688,860",35.0,7,2012
268,269,SAMONT,Yes,No,Germany,Industrial Goods,579.56,89.41,"19,577,339","2,880,891",89.0,39,2008
269,270,Sirive,No,No,Italy,Construction,578.64,89.33,"4,527,690","667,170",5.0,1,2017
270,271,Multienergia Verde,No,No,Spain,Energy,576.76,89.15,"146,453,604","21,640,253",15.0,10,2014
271,272,Wielandts UPMT,No,No,Belgium,Technology,575.79,89.06,"1,529,270","226,295",6.0,1,2013
272,273,ASKET,No,No,Sweden,Fashion,573.05,88.81,"6,525,278","991,534",13.0,4,2015
273,274,Central Warehouse Solution,No,No,Czech Republic,Transport,569.09,88.44,"1,788,545","274,790",45.0,10,2015
274,275,Chef in Camicia,No,No,Italy,Advertising,566.63,88.2,"2,071,960","310,810",21.0,2,2015
275,276,Piper Homes,No,No,UK,Construction,566.22,88.17,"30,436,232","4,601,266",28.0,9,2015
276,277,Alturas Cubiertas Y Fachadas,No,No,Spain,Construction,564.06,87.96,"9,375,243","1,411,811",33.0,12,2014
277,278,Autosalon Uhingen,No,No,Germany,Automobiles,563.94,87.95,"10,540,000","1,587,500",11.0,2,2015
278,279,Yumi Beauty,No,No,France,Chemicals & Pharmaceuticals,561.59,87.73,"2,678,257","404,819",5.0,1,2013
279,280,FOR ME LAB,No,No,France,Ecommerce,556.12,87.21,"1,652,073","251,795",7.0,2,2016
280,281,Stockholms Elbolag,No,No,Sweden,Energy,555.65,87.16,"32,265,912","5,033,032",25.0,7,2015
281,282,Flohr,No,No,Germany,Waste management & recycling,555.52,87.15,"21,249,638","3,241,629",84.0,21,1999
282,283,Agricodem,No,No,Italy,Agricultural Commodities,554.25,87.03,"2,856,530","436,610",4.0,1,2008
283,284,DACH Schutzbekleidung,No,No,Germany,Industrial Goods,552.07,86.82,"45,227,730","6,936,038",80.0,14,2005
284,285,EM-Tec Energiemontagen,No,No,Germany,Construction,551.35,86.75,"3,002,729","461,000",16.0,7,2017
285,286,Wave Studio,No,No,Romania,Technology,550.00,86.63,"4,105,688","656,172",9.0,8,2014
286,287,bazzar,No,No,Croatia,Retail,548.14,86.45,"6,686,617","1,034,093",17.0,3,2013
287,288,Cybersprint,Yes,No,The Netherlands,Cyber Security,548.05,86.44,"2,914,738","449,771",43.0,10,2015
288,289,Brandon Group,Yes,No,Italy,Ecommerce,546.65,86.3,"32,039,000","4,954,590",34.0,19,2012
289,290,Feiniko Handelsgesellschaft,Yes,Yes,Germany,Retail,546.03,86.24,"32,168,909","4,979,484",13.0,1,2014
290,291,PharmaGrin,No,No,Italy,Health,539.22,85.59,"2,701,410","422,610",21.0,2,2015
291,292,Life M,No,No,Czech Republic,Technology,538.99,85.57,"2,001,844","322,050",3.0,1,2016
292,293,Plásticos Dão / Sacos & Saquetas,No,No,Portugal,Industrial Goods,538.61,85.53,"1,946,703","304,833",16.0,5,2012
293,294,Logipal24,Yes,No,Germany,Transport,529.56,84.65,"4,967,568","789,058",70.0,19,2010
294,295,PastBook,Yes,Yes,The Netherlands,Technology,527.70,84.47,"33,651,532","5,361,088",22.0,23,2012
295,296,Bluefin,Yes,No,UK,Ecommerce,527.48,84.45,"28,993,287","4,653,721",21.0,6,2013
296,297,Milk & Honey PR,No,No,UK,Sales & Marketing,526.03,84.3,"1,528,900","245,974",18.0,4,2016
297,298,Prodeval,No,No,France,Energy,525.30,84.23,"73,514,217","11,756,712",220.0,70,1990
298,299,Virta,Yes,Yes,Finland,Technology,524.73,84.18,"11,029,402","1,765,457",110.0,23,2013
299,300,BizAway,Yes,No,Italy,Travel & Leisure,523.93,84.1,"1,989,950","318,940",28.0,4,2015
300,301,Karl & Léon,No,No,France,Retail,520.62,83.77,"2,391,019","385,266",6.0,2,2015
301,302,Identity,No,No,UK,Management Consulting,517.38,83.45,"22,885,804","3,733,539",80.0,39,2001
302,303,BlackBelt Holding,No,No,Hungary,Technology,517.01,83.41,"5,695,000","923,000",55.0,4,2016
303,304,DYNVEO,No,No,France,Retail,515.99,83.31,"3,687,780","598,678",13.0,1,2010
304,305,Favi,No,No,Czech Republic,Ecommerce,515.51,83.26,"24,995,030","4,174,549",29.0,7,2016
305,306,Hopkins,No,No,Finland,Sales & Marketing,514.46,83.16,"4,534,346","737,936",27.0,4,2016
306,307,AP Italian Luxury,Yes,No,Italy,Fashion,513.48,83.06,"4,283,930","698,300",7.0,3,2016
307,308,Novicap,Yes,Yes,UK,Fintech,513.18,83.03,"3,383,802","551,848",45.0,20,2015
308,309,IGLM Store,No,No,Italy,Ecommerce,509.86,82.7,"7,790,420","1,277,410",5.0,1,2013
309,310,LUIS Technology,No,No,Germany,Technology,507.97,82.51,"10,000,511","1,644,899",41.0,8,1999
310,311,Quantexa,Yes,No,UK,Fintech,505.07,82.22,"33,902,755","5,643,295",275.0,55,2016
311,312,Enerbrain,No,No,Italy,Energy,502.79,81.99,"4,131,370","685,370",37.0,9,2014
312,313,Brinckmann,No,No,Germany,Construction,502.19,81.93,"6,037,461","1,002,579",28.0,7,2013
313,314,LMG Building,Yes,No,Italy,Construction,499.55,81.67,"6,255,970","1,043,440",12.0,6,1982
314,315,Nordic Unmanned,Yes,No,Norway,Aerospace & Defence,498.36,81.55,"6,305,237","1,122,907",33.0,12,2013
315,316,Hemisphere,No,No,France,Property,493.89,81.09,"6,484,822","1,091,925",6.0,2,2017
316,317,therapiezentrum.com NW,No,No,Germany,Health,491.72,80.87,"2,916,337","492,860",87.0,23,2017
317,318,Beauhurst,No,No,UK,Technology,488.50,80.54,"5,355,215","916,511",82.0,39,2010
318,319,C.U.N. Cargo Carriers,No,No,Romania,Transport,488.24,80.52,"7,103,702","1,207,613",49.0,43,2017
319,320,MG Project,Yes,No,Italy,Telecoms,487.83,80.48,"8,208,450","1,396,400",34.0,23,2016
320,321,BONMEA,Yes,No,Germany,Retail,487.47,80.44,"14,597,418","2,484,783",6.0,3,2015
321,322,Oceanis Yachts,No,No,Italy,Travel & Leisure,486.88,80.38,"3,059,130","521,250",6.0,2,2007
322,323,OPUS DB,No,No,France,Construction,486.24,80.31,"12,171,118","2,076,139",8.0,2,2016
323,324,Devensys Cybersecurity,No,No,France,Technology,486.08,80.3,"3,403,055","580,644",27.0,9,2013
324,325,Project Agora,No,No,Cyprus,Advertising,485.69,80.26,"19,798,875","3,380,420",104.0,25,2016
325,326,BETTERTRUST,No,No,Germany,Advertising,483.67,80.05,"4,981,938","853,561",19.0,5,2012
326,327,Banale,No,No,Italy,Ecommerce,482.78,79.96,"2,051,370","352,000",10.0,3,2014
327,328,Maatwerk Online,No,No,The Netherlands,Sales & Marketing,481.07,79.78,"1,673,382","287,985",17.0,5,2013
328,329,Les constructeurs du bois,No,No,France,Property,479.95,79.67,"5,087,783","877,275",6.0,1,2011
329,330,Esserre Pharma,No,No,Italy,Pharmaceuticals,479.40,79.61,"2,556,640","441,260",10.0,6,2013
330,331,OnBuy.com,No,No,UK,Ecommerce,478.83,79.55,"2,720,319","473,344",18.0,8,2014
331,332,Gojob,Yes,No,France,Support Services,478.65,79.53,"40,546,000","7,007,000",108.0,27,2015
332,333,Newroom,No,No,Germany,Retail,474.45,79.09,"3,669,217","638,739",10.0,6,2016
333,334,Christmas the Original,No,No,Italy,Retail,474.38,79.09,"1,994,200","347,190",9.0,3,2016
334,335,Dimaxbau,No,No,Germany,Construction,473.16,78.96,"2,003,989","349,641",16.0,5,2016
335,336,Comnovis IT,No,No,Germany,Technology,471.65,78.8,"1,900,000","332,372",9.0,2,2013
336,337,Die Direktkontakter,No,No,Germany,Support Services,471.60,78.8,"2,818,000","493,000",8.0,4,2016
337,338,Mega Trasporti,Yes,No,Italy,Transport,470.40,78.67,"18,168,170","3,185,180",400.0,30,2010
338,339,LeHibou,Yes,No,France,Technology,470.21,78.65,"13,816,792","2,423,113",40.0,9,2014
339,340,Stufe A Pellet Italia,Yes,No,Italy,Interiors,469.76,78.61,"3,598,050","631,500",13.0,3,2014
340,341,Aquis Exchange,Yes,Yes,UK,Financial Services,469.71,78.6,"12,824,155","2,267,165",46.0,31,2012
341,342,Chattermill,Yes,No,UK,Technology,468.80,78.51,"2,306,045","408,336",50.0,8,2015
342,343,SchönerTel,No,No,Germany,Construction,468.18,78.44,"16,388,546","2,884,392",45.0,10,2016
343,344,Global Work,Yes,Yes,Italy,Telecoms,467.98,78.42,"3,174,000","558,820",57.0,8,2011
344,345,allygatr,No,No,Germany,Support Services,465.92,78.2,"1,914,500","338,300",9.0,1,2012
345,346,Cru Wine,Yes,Yes,UK,Food & Beverage,465.78,78.19,"9,235,946","1,644,134",14.0,3,2013
346,347,Abc Rent,Yes,No,Italy,Automobiles,462.56,77.85,"21,818,000","3,878,370",8.0,5,2004
347,348,Superior Wellness,No,No,UK,Personal & Household Goods,461.12,77.7,"54,150,622","9,719,653",57.0,20,2011
348,349,Schrott24,No,No,Austria,Waste management & recycling,460.83,77.67,"14,641,523","2,610,679",12.0,3,2016
349,350,Mazzoni Etech,No,No,Italy,Industrial Goods,459.21,77.5,"2,344,440","419,240",14.0,3,2017
350,351,Berdugo Immobilier,No,No,France,Property,458.13,77.38,"15,049,845","2,696,485",6.0,4,1996
351,352,Nova rent,No,No,Lithuania,Industrial Goods,456.25,77.18,"8,900,000","1,600,000",37.0,9,2016
352,353,Rouvy,No,No,Czech Republic,Games industry,455.45,77.1,"4,058,269","751,071",38.0,13,2013
353,354,Business Analysis & Legal Expertise - B.A.L.E.,No,No,Italy,Management Consulting,452.48,76.78,"2,943,020","532,690",4.0,3,2015
354,355,JMB,No,No,Poland,Energy,452.20,76.75,"70,179,000","12,709,000",381.0,172,2000
355,356,NOCNOC,No,No,France,Travel & Leisure,450.85,76.61,"1,596,167","289,766",13.0,2,2016
356,357,CrowdProperty,Yes,No,UK,Fintech,449.16,76.43,"2,941,537","539,486",33.0,5,2013
357,358,Tutos’Me,No,No,France,Education,447.76,76.28,"4,989,872","910,963",42.0,4,2015
358,359,Studio Eko’,No,No,Italy,Management Consulting,446.74,76.17,"1,740,660","318,370",10.0,4,2011
359,360,Beings,No,No,UK,Technology,444.42,75.92,"1,881,768","348,129",7.0,2,2010
360,361,dmrgroupltd.com,No,Yes,Poland,Chemicals & Pharmaceuticals,443.14,75.78,"7,050,124","1,418,769",6.0,3,2013
361,362,Ice Telecommunications Ltd,No,No,UK,Telecoms,442.64,75.73,"16,067,551","2,982,238",119.0,35,2014
362,363,Gallas Group,No,No,Italy,Support Services,441.64,75.62,"4,640,710","856,790",95.0,18,2012
363,364,Etracom,Yes,Yes,Italy,Ecommerce,439.61,75.4,"22,952,660","4,253,600",10.0,4,2010
364,365,Xalient,No,No,UK,Technology,439.22,75.36,"26,199,717","4,893,654",88.0,38,2015
365,366,Labevolution,No,No,Italy,Health,438.38,75.27,"7,264,130","1,349,250",,5,2009
366,367,Kuadra,Yes,No,Italy,Interiors,435.19,74.92,"3,400,580","635,400",20.0,9,2015
367,368,Kyo Electric,Yes,Yes,Spain,Telecoms,433.20,74.7,"5,402,302","1,013,181",8.0,3,2014
368,369,SoPost,No,No,UK,Technology,432.02,74.57,"7,825,138","1,481,398",32.0,13,2012
369,370,S.F.R.E.,No,No,Italy,Construction,431.82,74.55,"3,004,290","564,910",44.0,7,2016
370,371,Sportstech,Yes,Yes,Germany,Retail,430.92,74.45,"108,500,233","20,436,426",262.0,60,2012
371,372,Opéra Energie,Yes,No,France,Energy,427.38,74.06,"11,218,211","2,127,151",98.0,40,2014
372,373,RouteNote,No,No,UK,Technology,427.36,74.06,"38,428,858","7,339,330",76.0,28,2010
373,374,Doctify,No,No,UK,Health,425.60,73.87,"2,409,255","461,671",40.0,26,2016
374,375,Fruugo,Yes,No,UK,Ecommerce,425.57,73.86,"21,793,194","4,176,347",67.0,30,2008
375,376,Insidemarketing,No,No,Germany,Technology,421.70,73.44,"2,971,846","569,646",15.0,7,2012
376,377,Falzi,No,No,Italy,Waste management & recycling,420.34,73.29,"2,037,320","391,540",11.0,2,2013
377,378,Atrys Health,No,No,Spain,Health,420.23,73.27,"31,396,438","6,035,116",504.0,62,2015
378,379,Il Cantiere Costruzioni,No,No,Italy,Construction,420.04,73.25,"4,297,790","826,430",4.0,1,2016
379,380,Soorce,Yes,Yes,Germany,Support Services,418.96,73.13,"15,639,618","3,013,629",22.0,13,2004
380,381,Sortlist,No,No,Belgium,Technology,418.47,73.08,"3,396,000","655,000",85.0,26,2013
381,382,VirtusLab,Yes,Yes,Poland,Technology,417.12,72.93,"12,468,548","2,635,420",234.0,90,2010
382,383,SkalHuset.se,No,No,Sweden,Ecommerce,416.23,72.83,"7,342,811","1,454,711",16.0,5,2012
383,384,VIPINO,No,No,Germany,Retail,415.23,72.72,"11,067,681","2,148,122",26.0,6,2013
384,385,GEA Service,No,No,Italy,Waste management & recycling,411.71,72.32,"6,673,050","1,304,060",133.0,30,2015
385,386,Gellify,Yes,No,Italy,Technology,411.64,72.31,"5,581,540","1,090,920",62.0,12,2016
386,387,Billion Dollar Boy,Yes,No,UK,Advertising,411.37,72.28,"13,085,484","2,577,297",92.0,42,2014
387,388,Westrafo,No,No,Italy,Energy,406.66,71.75,"22,072,700","4,356,500",58.0,19,2014
388,389,Goboony,No,No,The Netherlands,Travel & Leisure,404.97,71.56,"1,718,442","340,309",21.0,10,2015
389,390,Multiservice Ambrosiana,No,No,Italy,Support Services,404.13,71.47,"4,266,770","846,360",180.0,60,2016
390,391,b&c systems,No,No,Germany,Construction,403.10,71.35,"5,339,538","1,061,327",65.0,16,2016
391,392,S&G Solar,No,Yes,Bulgaria,Energy,402.58,71.29,"3,980,920","792,093",10.0,31,2014
392,393,BITTNET,No,Yes,Romania,Management Consulting,402.13,71.24,"22,436,395","4,641,712",120.0,40,2007
393,394,Ibanfirst,Yes,Yes,Belgium,Fintech,400.90,71.1,"12,062,697","2,408,187",204.0,47,2013
394,395,UPLINK Network,Yes,Yes,Germany,Telecoms,399.83,70.98,"28,140,196","5,629,906",46.0,20,2013
395,396,BASE ORGANIC FOOD,No,No,France,Agricultural Commodities,399.44,70.93,"10,802,997","2,163,006",25.0,6,2015
396,397,CurrentBody,No,No,UK,Ecommerce,398.90,70.87,"38,002,441","7,671,961",74.0,20,2009
397,398,Apex Aero,No,No,UK,Aerospace & Defence,398.70,70.85,"3,812,785","770,031",6.0,1,2016
398,399,Startup Development House,No,No,Poland,Technology,398.69,70.85,"1,514,111","303,615",59.0,25,2016
399,400,Gruppo Gheron,No,No,Italy,Health,398.15,70.79,"58,422,800","11,728,040",806.0,8,2010
400,401,DyFlowing,No,No,Italy,Technology,396.92,70.65,"1,696,320","341,370",30.0,5,2016
401,402,Digital Masters,No,No,Germany,Advertising,396.52,70.6,"3,019,110","608,053",40.0,22,2016
402,403,Prusseit Auto-Outlet,No,No,Germany,Automobiles,394.55,70.37,"2,576,602","520,998",17.0,3,2017
403,404,Techouse,No,No,Norway,Energy,394.51,70.37,"31,852,584","6,863,940",72.0,30,2002
404,405,SVS,No,No,Italy,Construction,393.21,70.22,"9,694,310","1,965,560",8.0,3,2016
405,406,TelcoSwitch Group,No,No,UK,Telecoms,390.55,69.91,"7,519,236","1,543,824",86.0,18,2017
406,407,BOTHE-REIMANN Tortechnik,No,No,Germany,Construction,390.53,69.91,"2,277,791","464,354",8.0,3,2017
407,408,e-Pol / Personalizzalo,No,No,Italy,Ecommerce,389.87,69.83,"16,089,160","3,284,400",12.0,8,2012
408,409,Riluxa,No,No,Spain,Interiors,389.78,69.82,"3,428,464","700,007",18.0,3,2016
409,410,Modalis,No,No,France,Transport,389.56,69.8,"19,169,652","3,915,724",8.0,6,2002
410,411,OLYMPP,No,No,France,Technology,388.82,69.71,"5,512,134","1,127,652",27.0,8,2016
411,412,Zeck Fishing,Yes,Yes,Germany,Retail,385.68,69.35,"6,806,664","1,401,463",25.0,4,2013
412,413,StorPool Storage,No,No,Bulgaria,Technology,385.16,69.29,"3,306,191","681,460",25.0,16,2011
413,414,Vimcar,No,No,Germany,Technology,383.45,69.09,"14,674,011","3,035,269",164.0,72,2013
414,415,JOANNES DISTRIBUTION SAS,No,Yes,France,Retail,381.19,68.83,"7,064,900","1,468,200",8.0,5,2011
415,416,Sourcing Force,No,No,France,Technology,380.80,68.78,"12,806,965","2,663,699",30.0,8,2011
416,417,Schalttechnik Nord,No,No,Germany,Technology,380.13,68.7,"12,489,032","2,601,157",60.0,16,2000
417,418,DGC,No,No,Germany,Cyber Security,378.99,68.57,"1,577,296","329,298",27.0,5,2015
418,419,Superprof,Yes,Yes,France,Education,375.90,68.2,"10,168,214","2,136,626",202.0,28,2013
419,420,Improveasy,Yes,No,UK,Management Consulting,375.47,68.15,"26,446,798","5,602,132",48.0,12,2011
420,421,Viaréno,No,No,France,Construction,375.30,68.13,"6,937,737","1,459,655",30.0,8,2014
421,422,CMT,No,No,Slovakia,Waste management & recycling,373.76,67.95,"1,951,232","411,858",19.0,10,2013
422,423,Rets,No,No,Poland,Property,373.42,67.91,"5,206,032","1,201,964",97.0,31,2014
423,424,MUBI,No,No,UK,Media,373.09,67.87,"18,356,623","3,954,351",104.0,33,2007
424,425,Dynamicom Education,No,No,Italy,Education,372.95,67.86,"9,018,160","1,906,790",27.0,3,2001
425,426,Touch4IT,No,No,Slovakia,Technology,371.54,67.69,"2,064,141","437,747",47.0,25,2015
426,427,TattaHome.com,No,No,Italy,Interiors,369.96,67.5,"2,800,000","595,800",8.0,4,1986
427,428,Speechmatics,Yes,Yes,UK,Technology,368.02,67.27,"7,161,145","1,541,070",90.0,37,2006
428,429,Samy Road,Yes,Yes,Spain,Advertising,367.32,67.19,"19,458,114","4,163,750",118.0,20,2012
429,430,Prometeo,No,No,Italy,Support Services,367.12,67.16,"3,580,500","766,510",9.0,6,2006
430,431,Dialectica,Yes,No,UK,Management Consulting,366.38,67.08,"17,078,846","3,688,264",260.0,65,2015
431,432,Wolf & Badger,Yes,No,UK,Ecommerce,365.87,67.01,"11,604,670","2,508,842",62.0,32,2009
432,433,Eco CO2,Yes,Yes,France,Support Services,365.14,66.93,"9,220,216","1,982,251",94.0,28,2009
433,434,Lakógép Kft.,No,No,Hungary,Construction,364.94,66.9,"25,335,854","6,328,462",20.0,3,2011
434,435,Beyer Betonwaren,No,No,Germany,Construction,364.90,66.9,"2,062,749","443,694",20.0,9,2017
435,436,Fill Up Média,Yes,Yes,France,Media,362.48,66.61,"4,999,802","1,081,079",42.0,12,2011
436,437,Zara Imballaggi Fabriano,Yes,No,Italy,Industrial Goods,362.41,66.6,"2,297,210","496,790",6.0,4,1984
437,438,CD Projekt,No,No,Poland,Games industry,361.78,66.52,"468,257,487","110,835,763",1177.0,744,1994
438,439,VPACE Bikes,No,No,Germany,Retail,361.24,66.46,"2,643,580","573,145",10.0,1,2015
439,440,Tooltester,Yes,No,Spain,Sales & Marketing,361.17,66.45,"3,646,507","790,712",6.0,0,2014
440,441,Bunker Partner,Yes,Yes,Estonia,Energy,361.12,66.45,"101,726,265","22,060,642",7.0,2,2015
441,442,Tikamoon,No,No,France,Ecommerce,360.01,66.31,"56,122,322","12,200,275",130.0,40,2006
442,443,S.T.A.R. Digital,No,No,Croatia,Advertising,359.98,66.31,"3,211,868","699,907",8.0,10,2013
443,444,Funding Options,Yes,No,UK,Fintech,359.62,66.26,"5,922,043","1,297,717",62.0,29,2011
444,445,Isimed,No,No,Italy,Health,359.61,66.26,"4,828,920","1,050,660",14.0,8,2014
445,446,"Sonar, SonarQube, SonarCloud, SonarLint",No,No,Switzerland,Technology,358.59,66.14,"83,632,640","16,861,349",195.0,50,2008
446,447,Scherer,No,No,Germany,Support Services,358.37,66.11,"4,285,766","934,994",30.0,4,2016
447,448,Mycroclean Italia,No,No,Italy,Support Services,357.44,66.0,"3,366,730","736,000",24.0,14,2002
448,449,Piscor,No,No,Italy,Ecommerce,356.25,65.86,"4,842,410","1,061,360",16.0,8,2015
449,450,Marwincar,Yes,No,Italy,Automobiles,356.21,65.85,"5,083,140","1,114,200",3.0,1,2016
450,451,Brighton & Hove Albion Football Club,No,No,UK,Travel & Leisure,355.67,65.79,"148,505,285","32,824,451",1038.0,288,1993
451,452,INPE Transport,No,No,Bulgaria,Transport,355.58,65.78,"1,816,274","398,676",60.0,5,2015
452,453,RTB House,Yes,Yes,Poland,Technology,355.45,65.76,"191,601,076","45,981,552",773.0,266,2013
453,454,Obiz,Yes,Yes,France,Media,353.69,65.55,"15,377,000","3,389,300",38.0,27,2010
454,455,VmWay,Yes,Yes,Italy,Technology,351.01,65.22,"15,901,220","3,525,720",70.0,33,2012
455,456,Legimi,No,No,Poland,Media,350.96,65.21,"7,007,093","1,698,358",12.0,8,2009
456,457,MSG Beauty,No,No,Germany,Retail,350.83,65.2,"2,910,737","645,633",11.0,5,2011
457,458,Leogra Trading,No,No,Germany,Retail,350.12,65.11,"5,078,464","1,128,243",11.0,4,2014
458,459,Benefind,No,No,Italy,Technology,347.56,64.8,"2,262,490","505,520",32.0,10,2012
459,460,AB Oil & Gas Service,No,No,Italy,Support Services,347.12,64.74,"2,310,000","516,640",13.0,5,2017
460,461,Mailtrack,Yes,No,Spain,Technology,344.41,64.41,"3,445,698","775,341",23.0,14,2013
461,462,Bumper,Yes,No,UK,Fintech,343.11,64.25,"3,394,214","771,504",33.0,15,2013
462,463,OTL - Online Trainer,No,No,Germany,Health,342.81,64.21,"6,607,564","1,492,190",46.0,22,2015
463,464,Macingo Technologies,No,No,Italy,Support Services,342.52,64.18,"1,601,000","361,790",17.0,9,2014
464,465,MYCS,No,No,Germany,Retail,340.45,63.92,"39,355,846","8,935,361",210.0,120,2014
465,466,Audience Serv,No,No,Germany,Advertising,339.50,63.8,"6,107,018","1,389,534",92.0,23,2008
466,467,Start,No,No,Italy,Telecoms,339.50,63.8,"3,769,100","857,590",8.0,4,2012
467,468,MvH Media,No,No,The Netherlands,Sales & Marketing,338.88,63.73,"2,391,654","544,943",29.0,8,2010
468,469,PURE GAMING,Yes,Yes,France,Ecommerce,338.29,63.65,"6,984,956","1,593,667",2.0,1,2010
469,470,Parcel Compare,No,No,UK,Transport,337.44,63.55,"9,085,936","2,091,995",8.0,4,1998
470,471,Ames Centro Polidiagnostico Strumentale,Yes,Yes,Italy,Health,337.37,63.54,"40,391,360","9,235,130",81.0,71,1979
471,472,Arcadia Italia,No,No,Italy,Energy,337.22,63.52,"3,249,140","743,130",6.0,1,2016
472,473,Zia Lucia,Yes,No,UK,Restaurants,336.69,63.45,"4,853,930","1,119,494",43.0,16,2016
473,474,Travaglini Costruzioni,No,No,Italy,Construction,333.49,63.05,"4,603,740","1,062,010",37.0,16,1952
474,475,Versa Design Zycle,No,No,Spain,Technology,331.97,62.86,"9,501,888","2,199,640",81.0,10,2008
475,476,MAUCHER CONSULT,No,No,Germany,Construction,331.77,62.84,"1,952,000","452,091",15.0,5,2016
476,477,Ayes,Yes,No,Italy,Technology,331.20,62.76,"10,827,070","2,510,930",137.0,51,2015
477,478,BrandUp Group,Yes,No,Italy,Advertising,331.08,62.75,"2,718,640","630,660",5.0,1,2016
478,479,Opyn,No,No,Italy,Financial Services,329.74,62.58,"4,168,220","969,930",19.0,11,2012
479,480,VAR Capital,No,No,UK,Financial Services,329.62,62.57,"2,132,001","499,815",8.0,4,2014
480,481,StoryTerrace,No,No,UK,Technology,329.00,62.49,"2,843,048","667,467",25.0,9,2017
481,482,Blubit,No,No,Slovenia,Technology,328.98,62.48,"2,964,852","691,140",22.0,8,2009
482,483,ZEN’UP,No,No,France,Insurance,328.62,62.44,"1,891,361","441,271",9.0,9,2014
483,484,Lörcher Bauunternehmen,No,No,Germany,Construction,328.53,62.43,"3,932,792","917,735",25.0,17,2001
484,485,Barcode Architects,No,No,The Netherlands,Architecture,327.77,62.33,"4,851,997","1,134,256",62.0,23,2010
485,486,TOP CHALEUR,No,No,France,Retail,326.52,62.17,"7,260,096","1,702,165",27.0,9,2002
486,487,Seingim,Yes,Yes,Italy,Construction,326.09,62.12,"13,479,380","3,163,540",160.0,52,1999
487,488,Amphibian Scaffolding,No,No,UK,Construction,325.82,62.08,"4,011,415","948,813",49.0,21,2008
488,489,Beliani,No,No,Liechtenstein,Ecommerce,325.61,62.06,"93,438,770","20,298,288",551.0,205,2009
489,490,Hatstore,Yes,No,Sweden,Ecommerce,325.42,62.03,"17,453,187","4,195,789",45.0,17,2011
490,491,Carpenteria Martino,No,No,Italy,Construction,325.19,62.0,"9,719,750","2,286,000",27.0,19,2006
491,492,CapitalOnTap,Yes,Yes,UK,Fintech,324.99,61.98,"82,238,372","19,489,369",147.0,61,2012
492,493,Netguru,No,No,Poland,Technology,324.26,61.89,"34,677,235","8,933,769",637.0,199,2008
493,494,Fazio,No,No,Italy,Retail,322.41,61.65,"3,375,810","799,170",7.0,6,2014
494,495,Grillfürst,No,No,Germany,Retail,322.06,61.61,"38,599,408","9,145,411",84.0,37,2010
495,496,Dealernet,No,No,Italy,Automobiles,320.92,61.46,"22,704,300","5,394,020",18.0,14,2017
496,497,Alpha Real Estate,Yes,Yes,Germany,Property,319.89,61.33,"119,161,137","28,378,990",57.0,14,2013
497,498,Appwise,No,No,Belgium,Technology,319.07,61.22,"4,546,110","1,084,812",74.0,12,2013
498,499,Convert Group,Yes,No,Greece,Technology,318.77,61.18,"2,789,489","666,118",55.0,17,2014
499,500,Revolution Race,Yes,No,Sweden,Ecommerce,318.30,61.12,"89,332,521","21,841,341",65.0,17,2013
500,501,GONG Galaxy,No,No,France,Retail,318.01,61.09,"11,320,706","2,708,258",40.0,11,2009
501,502,GDR Costruzioni,No,No,Italy,Construction,317.99,61.09,"1,573,480","376,440",8.0,8,2011
502,503,Emporio Elettrico,No,No,Italy,Ecommerce,317.84,61.07,"1,979,050","473,640",4.0,1,2015
503,504,Exscientia AI,Yes,No,UK,Technology,317.63,61.04,"10,807,048","2,606,296",87.0,15,2012
504,505,Featurespace,No,No,UK,Fintech,316.08,60.84,"23,501,473","5,688,822",324.0,128,2005
